Business,2,Male,In a relationship,Less than 5,Between 5 and 10,
Engineering and Computer Science,0,Female,Single,Between 5 and 10,Between 5 and 10,
Engineering and Computer Science,4,Male,In a relationship,Less than 5,Between 5 and 10,
Arts & Science,2,Female,Single,Less than 5,Less than 5,
Arts & Science,5 or more,Male,In a relationship,More than 10,More than 10,
Arts & Science,5 or more,Male,Single,Less than 5,Less than 5,
Engineering and Computer Science,5 or more,Male,Single,More than 10,Less than 5,
Health Science,5 or more,Male,In a relationship,More than 10,Between 5 and 10,
Science,5 or more,Female,Single,Less than 5,Less than 5,
Engineering and Computer Science,4,Male,Single,Less than 5,Less than 5,
Engineering and Computer Science,5 or more,Male,Single,Less than 5,Less than 5,
Engineering and Computer Science,3,Male,Single,Less than 5,Less than 5,
Engineering and Computer Science,4,Male,Single,Less than 5,Less than 5
